Clave,with RSOC,with Local Security,Closed,First response,I.First Response,I.Escalamiento,I.respuesta Sub,,,05:56:00 a. m.,06:30:00 a. m.,,0.02
TPGSOC-1344260,2026-01-14T05:56:15.665-0500,2026-01-14T07:04:58.133-0500,,2026-01-14T06:30:53.767-0500,0.58,0.57,,,,,,,
TPGSOC-1344137,2026-01-14T03:43:51.483-0500,,2026-01-14T06:47:43.241-0500,2026-01-14T04:43:16.202-0500,0.99,,2.07,,,,,,
TPGSOC-1343694,2026-01-14T09:43:27.172-0500,,,2026-01-14T10:20:44.976-0500,0.62,,,,,,,,
TPGSOC-1343496,2026-01-14T08:08:45.433-0500,,,2026-01-14T08:52:40.544-0500,0.73,,,,,,,,
TPGSOC-1343472,2026-01-14T04:54:49.366-0500,2026-01-14T06:29:58.978-0500,,2026-01-14T05:35:35.621-0500,0.68,0.91,,,,,,,
TPGSOC-1343443,2026-01-14T01:13:06.394-0500,2026-01-14T02:41:46.414-0500,,2026-01-14T02:08:56.577-0500,0.93,0.55,,,,,,,
TPGSOC-1343422,2026-01-14T04:30:31.743-0500,2026-01-14T06:39:31.017-0500,,2026-01-14T04:43:11.073-0500,0.21,1.94,,,,,,,
TPGSOC-1343308,2026-01-13T12:58:45.354-0500,,2026-01-13T13:16:55.599-0500,2026-01-13T13:13:32.105-0500,0.25,,0.06,,,,,,
TPGSOC-1343279,2026-01-13T12:45:43.235-0500,,2026-01-13T16:55:34.709-0500,2026-01-13T16:50:37.118-0500,4.08,,0.08,,,,,,
TPGSOC-1343270,2026-01-13T20:51:44.213-0500,2026-01-13T21:41:31.788-0500,,2026-01-13T21:41:21.551-0500,0.83,0,,,,,,,
TPGSOC-1343201,2026-01-13T11:29:08.007-0500,,2026-01-13T13:13:00.509-0500,2026-01-13T12:24:01.005-0500,0.91,,0.82,,,,,,
TPGSOC-1343200,2026-01-13T11:29:03.774-0500,,2026-01-13T13:07:20.190-0500,2026-01-13T12:23:51.915-0500,0.91,,0.72,,,,,,
TPGSOC-1343168,2026-01-13T10:58:40.684-0500,,2026-01-13T12:57:50.544-0500,2026-01-13T12:23:21.918-0500,1.41,,0.57,,,,,,
TPGSOC-1343167,2026-01-13T10:58:38.417-0500,,2026-01-13T12:46:59.480-0500,2026-01-13T12:23:14.178-0500,1.41,,0.4,,,,,,
TPGSOC-1343124,2026-01-13T10:13:42.207-0500,,2026-01-13T12:43:39.175-0500,2026-01-13T12:23:05.036-0500,2.16,,0.34,,,,,,
TPGSOC-1343102,2026-01-13T10:00:53.556-0500,,2026-01-13T12:37:08.668-0500,2026-01-13T12:22:57.633-0500,2.37,,0.24,,,,,,
TPGSOC-1343059,2026-01-13T09:50:41.051-0500,2026-01-13T14:45:02.741-0500,,2026-01-13T12:22:16.192-0500,2.53,2.38,,,,,,,
TPGSOC-1343033,2026-01-13T09:41:52.138-0500,2026-01-13T13:30:49.942-0500,,2026-01-13T12:22:08.457-0500,2.67,1.14,,,,,,,
TPGSOC-1343013,2026-01-13T08:58:49.272-0500,2026-01-13T11:15:28.210-0500,2026-01-14T11:56:58.111-0500,2026-01-13T09:39:23.254-0500,0.68,1.6,26.29,,,,,,
TPGSOC-1343007,2026-01-13T08:58:32.920-0500,2026-01-13T10:59:16.447-0500,2026-01-14T11:41:31.811-0500,2026-01-13T09:39:14.137-0500,0.68,1.33,26.04,,,,,,
TPGSOC-1342995,2026-01-13T09:26:54.866-0500,2026-01-13T12:05:46.346-0500,,2026-01-13T09:39:06.543-0500,0.2,2.44,,,,,,,
